1-4级
d100
遭遇
01-02       1只鹰eagle
03-05       1个蝙蝠群swarm of bats
06-08       1d6只山羊goat
09-11       1d10+5的部族武者tribal
warrior
12-14       1d6+3只翼龙pteranodon
15-17       1d8+1只带翼狗头人winged
kobold
18-20       1只狮子lion
21-24       在岩壁上凿出的一段台阶，向上延伸3d20+40尺后突然结束
25-27       2d10只蚊蝠stirge
28-30       2d4的阿兰寇拉鹰人aarakocra
31-33       2d6的矮人士兵（警卫guard）和1d6匹驮着铁矿石的骡mule
34-36       1只巨鹰giant eagle
37-38       一个秩序善良神祇的小型神庙，建在一片露出地面的岩石上
39-41       2d8+1只血鹰blood hawk
42-44       1只巨山羊giant goat
45-47       3d4只狗头人kobold
48-50       1只半食人魔half-ogre
51-53       1个狂战士berserker
54-55       1只魔兽人orog
56         1只地狱犬hell hound
57         1位德鲁伊druid
58-59       1只鹿鹰兽peryton
60-61       1d2只鹫马hippogriff
62         1只蝎尾狮manticore
63-64       1d6+2的斥候scout
65-67       由一个巨人留下的巨大脚印，向山峰中前进
68-73       2d4只兽人orc
74-75       1只巨麋鹿elk
76-77       1个老兵veteran
78-79       1只兽人·格乌什之眼orc Eye of Gruumsh
80         1d4的鸟妖harpy
81         1只食人魔ogre
82         1只狮鹫griffon
83         1只石化蜥蜴basilisk
84-85       1只剑齿虎saber-toothed
tiger
86-90       从岩缝中倾泻而出的清澈水流
91         1d2的双头巨人ettin
92         1个独眼巨人cyclops
93         1只巨魔troll
94         1个格莱巨人galeb duhr
95         1个气元素air
elemental
96         1只鲨蜥兽bulette
97         1只奇美拉chimera
98         1只飞龙wyvern
99         1个石巨人stone giant
00         1个霜巨人frost giant
